Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00     324/324         jbwm_snap_client [24]
-----------------------------------------------
                0.00    0.00     324/324         jbwm_snap_client [24]
[26]     0.0    0.00    0.00     324         snap_search [26]
                0.00    0.00    1100/1100        snap_cond [12]
                0.00    0.00     775/775         jbwm_snap_dim [13]
-----------------------------------------------
                0.00    0.00       1/254         set_not_fullscreen [148]
                0.00    0.00       1/254         set_fullscreen [147]
                0.00    0.00       2/254         jbwm_toggle_sticky [124]
                0.00    0.00       2/254         jbwm_handle_PropertyNotify [19]
                0.00    0.00      70/254         jbwm_handle_Expose [53]
                0.00    0.00     178/254         jbwm_move_resize [38]
[27]     0.0    0.00    0.00     254         jbwm_update_title_bar [27]
                0.00    0.00     253/253         resize_title_bar [33]
                0.00    0.00     253/253         draw_title [29]
                0.00    0.00       9/9           new_title_bar [87]
                0.00    0.00       1/1           remove_title_bar [141]
-----------------------------------------------
                0.00    0.00     253/253         draw_title [29]
[28]     0.0    0.00    0.00     253         draw_text [28]
-----------------------------------------------
                0.00    0.00     253/253         jbwm_update_title_bar [27]
[29]     0.0    0.00    0.00     253         draw_title [29]
                0.00    0.00     253/253         jbwm_get_title [31]
                0.00    0.00     253/253         jbwm_get_font_ascent [30]
                0.00    0.00     253/253         draw_text [28]
-----------------------------------------------
                0.00    0.00     253/253         draw_title [29]
[30]     0.0    0.00    0.00     253         jbwm_get_font_ascent [30]
-----------------------------------------------
                0.00    0.00     253/253         draw_title [29]
[31]     0.0    0.00    0.00     253         jbwm_get_title [31]
                0.00    0.00     253/531         jbwm_get_property [18]
-----------------------------------------------
                0.00    0.00     253/253         resize_title_bar [33]
[32]     0.0    0.00    0.00     253         move_buttons [32]
                0.00    0.00     759/759         mv [14]
-----------------------------------------------
                0.00    0.00     253/253         jbwm_update_title_bar [27]
[33]     0.0    0.00    0.00     253         resize_title_bar [33]
                0.00    0.00     253/253         move_buttons [32]
-----------------------------------------------
                0.00    0.00     186/186         jbwm_handle_mwm_hints [35]
[34]     0.0    0.00    0.00     186         get_mwm_hints_atom [34]
-----------------------------------------------
                0.00    0.00       8/186         jbwm_new_client [96]
                0.00    0.00     178/186         jbwm_move_resize [38]
[35]     0.0    0.00    0.00     186         jbwm_handle_mwm_hints [35]
                0.00    0.00     186/186         get_mwm_hints_atom [34]
                0.00    0.00     186/531         jbwm_get_property [18]
-----------------------------------------------
                0.00    0.00     180/180         jbwm_move_resize [38]
[36]     0.0    0.00    0.00     180         do_move [36]
-----------------------------------------------
                0.00    0.00     180/180         jbwm_move_resize [38]
[37]     0.0    0.00    0.00     180         jbwm_configure_client [37]
